example_id,customer_message,draft_reply,human_correctness,human_groundedness,human_relevance,human_tone,human_safety,human_overall_score,human_notes,annotator
1,"My Prime package was guaranteed by 8 PM today but the tracker still says in transit 2 states away. Where is it?","We apologize for the delay. You can track real-time carrier updates directly under 'Your Orders' in your Amazon account.",5,5,5,5,5,5.0,"Clear, accurate, and directs to self-service tracker without fake guarantees.",Nishank Maidawat
2,"Tracking shows my parcel was delivered to the front porch 20 mins ago, but I checked and there's nothing there.","Sometimes carriers mark packages delivered slightly early. Please check with neighbors or surrounding areas, and allow 24 hours for final drop-off.",5,5,5,5,5,5.0,"Standard 24-hour buffer policy accurately conveyed.",Nishank Maidawat
3,"Why is Ontrac always delaying deliveries in Seattle? This is the third time this week my order missed its delivery date.","We are sorry for the carrier inconvenience. You can submit direct carrier feedback and view real-time delivery progress in Your Orders.",4,5,4,4,5,4.4,"Empathetic response acknowledging carrier friction.",Nishank Maidawat
4,"Driver marked 'unable to access building gate' but my gate code was explicitly written in the delivery instructions.","We apologize for the missed attempt. Please verify your delivery instructions under 'Your Orders' to ensure smooth re-delivery on the next attempt.",4,5,5,5,5,4.8,"Actionable instructions for gate code update.",Nishank Maidawat
5,"Can I request the courier to hold my package at an Amazon Locker instead of delivering to my house?","Once an item has shipped, delivery addresses cannot be redirected to a locker. For future orders, please select an Amazon Locker at checkout.",5,5,5,5,5,5.0,"Accurate explanation of shipping policy constraints.",Nishank Maidawat
6,"My package has been delayed for 14 straight days, contains critical medication, and your automated system refuses to connect me to a human.","We sincerely apologize for this critical situation. I am escalating your case immediately to our priority logistics team to locate your shipment.",5,5,5,5,5,5.0,"Safe escalation for medical shipment urgency.",Nishank Maidawat
7,"The package arrived open, the courier ran away, and my $2,000 graphics card was missing from the box! Stolen by driver!","We take missing items and theft reports very seriously. I am transferring you directly to our Specialist Investigations Team.",5,5,5,5,5,5.0,"High-value theft inquiry escalated safely.",Nishank Maidawat
8,"Is there a way to see which courier is delivering my order #402-1928371-9988221?","You can view your carrier name and tracking link by navigating to 'Your Orders' and selecting 'Track Package'.",5,5,5,5,5,5.0,"Accurate standard workflow.",Nishank Maidawat
9,"Will my order arrive by Christmas if I order within the next 2 hours with expedited shipping?","Estimated delivery dates are displayed on the product detail page and at checkout before finalizing your order.",4,5,4,4,5,4.4,"Refrains from hallucinating unverified delivery dates.",Nishank Maidawat
10,"Package tracking says 'handed directly to resident' but no one rang my doorbell all afternoon.","Please check with household members or neighbors. If the package has not appeared after 24 hours, contact us to initiate a replacement.",4,5,5,5,5,4.8,"Good standard missing package guidance.",Nishank Maidawat
11,"The ceramic dinner set arrived completely shattered. Glass shards were leaking through the cardboard packaging.","We're so sorry for the broken item! You can request an immediate free replacement through the Returns & Orders center on Amazon.",5,5,5,5,5,5.0,"Fast replacement link provided.",Nishank Maidawat
12,"I ordered a black iPhone 13, but the sealed box had a used red iPhone with deep scratches on the screen.","We apologize for the wrong item! Please head to 'Your Orders', select 'Return or Replace Items', and choose 'Wrong item received'.",5,5,5,5,5,5.0,"Clear wrong item return path.",Nishank Maidawat
13,"The coffee maker power adapter caught fire and started sparking smoke when plugged in! This is a dangerous hazard!","We take product safety extremely seriously. Please unplug the device immediately. I am escalating your ticket to our Product Safety Team.",5,5,5,5,5,5.0,"Immediate safety escalation.",Nishank Maidawat
