tweet_id,customer_message,response_text,brand
100000,"3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",We'd like to take a further look into this with you! Please reach us by phone or chat here: https://t.co/hApLpMlfHN,AmazonHelp
100001,Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,Thanks for your patience.,AmazonHelp
100002,Hi ready for some help,Were you able to reach us at the link DW provided?,AmazonHelp
100003,That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?,You can also request a call back here Martin https://t.co/zH8UlhTGcc,AmazonHelp
100004,"I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?","Is there a current order you're having difficulties with? Please let us know, we'd like to help!",AmazonHelp
100005,Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645,Provide your details here: https://t.co/6f6cWZv7vm and my team will escalate the order to Amazon Logistics for feedback.,AmazonHelp
100006,"Already handled, just venting. It was a pretty big bummer.",Let us know if there’s anything else we can do for you! We're happy to help out any way we can!,AmazonHelp
100007,Details sent. Please check.,Thanks for confirming that the details have been shared. Our team will give it a look and reach out shortly.,AmazonHelp
100008,Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated & new status will be provided in 1 day!,Please share your details here:https://t.co/GIJyeYqKE0 and I'll get back to you. 2/2,AmazonHelp
100009,but I can’t find the options to cancel or re-order?,I'm sorry for the delay! We'd like to take a further look into this with you! Please reach us here: https://t.co/hApLpMlfHN,AmazonHelp
100010,Thats the thing I told customer service. I created a new email address for the Prime trial and forgot it. What can I do so I'm not charged?,Hey Corey! Even on the new account you made you can turn of the auto renew through the same link posted for you.,AmazonHelp
100011,You have to log in. I don't remember the email address I used. Can you look up the account by my bank information?,It would be best if you get in touch with us by phone or chat.use this link to do so: https://t.co/hApLpMlfHN,AmazonHelp
100012,"I have tried. It’s not allowing me to access my account to cancel my membership, I haven’t even used prime in almost 3 months.",I'm sorry to hear you're not able to access your account. Please use this link instead to contact us: https://t.co/zYVX1Qi29G.,AmazonHelp
100013,"My package just got here. All good, thank you!","Thank you for keeping us posted, Rachael!",AmazonHelp
100014,Never got the beta and now I’m being told I won’t get ANY of the other stuff. Including Last Jedi content and or bonus classes. Anything! :(,"We'd like to see what we can do to help. What date did you place the order on, and which version did you order?",AmazonHelp
100015,Deluxe edition on September 16th. It definitely had the pre orders on the profile because that’s why I ordered. Also why I paid for Prime..,Could you link us to the page of the item on our website? This will allow us to take a closer look at all options.,AmazonHelp
100016,Star Wars Battlefront 2 Elite Trooper Deluxe Edition Playstation 4 [URL] preorder info is in description. Thanks for help,Thanks for the link. We are not a participating retailer to receive the bonus content. Details: https://t.co/hJIrBtSMrl,AmazonHelp
100017,"Fulfilled by Amazon. It’s quite disturbing you’re selling counterfeit items, and can’t be trusted.","We'd like to look into this with you in real time, Bry. When you can, please ring or chat in with us: https://t.co/JzP7hlA23B",AmazonHelp
100018,I have. No luck.,Sorry you're still having trouble! What error are you seeing when you try to use the app?,AmazonHelp
100019,It’s not allowing me to update it to register my new amazon account. I read I’d have to do so manually. Thx 4 response.,No problem! You may need to deregister the Kindle from the old account. You can see how here: https://t.co/zyUJKBZObw,AmazonHelp
